[2025-11-27 18:05:57] Evento: impresion | ID: 3 | Ciudad: tunja | IP: 172.70.254.211 | OK.
[2025-11-27 18:06:14] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 104.23.248.111 | OK.
[2025-11-27 18:06:58] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.254.211 | OK.
[2025-11-27 18:07:26] Evento: impresion | ID: 3 | Ciudad: bucaramanga | IP: 172.70.83.120 | OK.
[2025-11-27 18:11:09] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.71.22.28 | OK.
[2025-11-27 18:11:29] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.68.12.84 | OK.
[2025-11-27 18:15:48] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.254.211 | OK.
[2025-11-27 18:24:29] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.55.2 | OK.
[2025-11-27 18:27:56] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.68.7.47 | OK.
[2025-11-27 18:28:06] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.68.12.84 | OK.
[2025-11-27 18:28:54] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 104.23.248.111 | OK.
[2025-11-27 18:29:16] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 104.23.248.111 | OK.
[2025-11-27 18:29:22] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 104.23.248.111 | OK.
[2025-11-27 18:29:35] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 104.23.248.111 | OK.
[2025-11-27 18:29:38] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 104.23.248.111 | OK.
[2025-11-27 18:31:09] Evento: impresion | ID: 3 | Ciudad: armenia | IP: 172.70.83.119 | OK.
[2025-11-27 18:31:45] Evento: impresion | ID: 3 | Ciudad: armenia | IP: 172.70.83.119 | OK.
[2025-11-27 18:35:00] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.54.254 | OK.
[2025-11-27 18:35:00] Evento: click | ID: 3 | Ciudad: bogota | IP: 172.70.54.254 | OK.
[2025-11-27 18:35:00] Evento: click | ID: 3 | Ciudad: bogota | IP: 172.70.54.254 | OK.
[2025-11-27 18:37:45] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.69.71.216 | OK.
[2025-11-27 18:37:52] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.69.71.216 | OK.
[2025-11-27 18:38:56] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.71.31.159 | OK.
[2025-11-27 18:40:26] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 104.22.1.144 | OK.
[2025-11-27 18:40:47] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.83.119 | OK.
[2025-11-27 18:40:49] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 104.22.1.145 | OK.
[2025-11-27 18:40:54] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.83.119 | OK.
[2025-11-27 18:41:07] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.83.119 | OK.
[2025-11-27 18:41:10] Evento: impresion | ID: 3 | Ciudad: tunja | IP: 104.22.1.144 | OK.
[2025-11-27 18:41:19] Evento: impresion | ID: 3 | Ciudad: tunja | IP: 104.22.1.145 | OK.
[2025-11-27 18:41:19] Evento: click | ID: 3 | Ciudad: tunja | IP: 104.22.1.145 | OK.
[2025-11-27 18:41:42] Evento: impresion | ID: 3 | Ciudad: tunja | IP: 104.22.1.144 | OK.
